num_personas,num_vehiculos,num_motocicleta,num_bicis,num_camiones,num_autobuses,num_peatones,num_pasajeros,num_hombres,num_mujeres,max_lesividad,coord_x,coord_y,distrito,droga_alcohol,tiempo_desfavorable,noche
1,1,0,0,0,0,0,1,0,1,0,437889.0,4477306.0,MONCLOA-ARAVACA,0,0,0
2,2,0,0,0,0,0,2,1,1,0,441561.0,4474534.0,RETIRO,0,0,0
3,3,0,0,0,0,0,3,2,1,0,445595.0,4475853.0,CIUDAD LINEAL,0,0,0
1,1,0,0,0,0,0,1,0,1,0,441036.0,4482081.0,FUENCARRAL-EL PARDO,0,0,0
2,2,0,0,0,0,0,2,1,1,0,436952.0,4468356.0,CARABANCHEL,0,0,0
2,1,1,0,0,0,0,2,1,1,1,444883.0,4477639.0,CIUDAD LINEAL,0,0,0
2,2,0,0,0,0,0,2,1,1,0,441028.0,4477667.0,TETUÁN,0,0,0
1,0,1,0,0,0,0,1,1,0,1,439672.0,4473286.0,CENTRO,0,1,0
2,1,0,0,1,0,0,2,2,0,1,445778.0,4476639.0,CIUDAD LINEAL,0,1,0
2,1,1,0,0,0,0,2,1,1,0,439330.0,4480779.0,FUENCARRAL-EL PARDO,0,1,1
2,2,0,0,0,0,0,2,1,1,0,439495.0,4465170.0,VILLAVERDE,0,0,0
3,1,2,0,0,0,0,3,1,2,2,438969.0,4470251.0,CARABANCHEL,0,1,0
3,3,0,0,0,0,0,3,1,2,2,442552.0,4471643.0,ARGANZUELA,0,1,0
3,3,0,0,0,0,0,3,1,2,0,435331.0,4471167.0,LATINA,0,0,1
2,2,0,0,0,0,1,1,2,0,2,440035.0,4474201.0,CENTRO,0,1,0
2,1,1,0,0,0,0,2,1,1,1,450368.0,4477461.0,SAN BLAS-CANILLEJAS,0,1,0
5,5,0,0,0,0,0,5,2,3,0,443060.0,4480214.0,CHAMARTÍN,0,0,0
1,1,0,0,0,0,0,1,0,1,0,443976.0,4475480.0,SALAMANCA,0,1,0
3,3,0,0,0,0,1,2,2,1,2,440985.0,4474604.0,CENTRO,0,1,0
1,1,0,0,0,0,0,1,1,0,0,439957.0,4474829.0,CENTRO,0,0,0
3,2,1,0,0,0,0,3,2,1,1,447791.0,4473208.0,VICÁLVARO,0,1,0
1,0,1,0,0,0,0,1,0,1,2,441676.0,4475416.0,SALAMANCA,0,1,0
2,1,1,0,0,0,0,2,2,0,2,442499.0,4473192.0,RETIRO,0,1,0
2,2,0,0,0,0,0,2,2,0,0,440079.0,4474680.0,CENTRO,0,1,0
7,7,0,0,0,0,0,7,3,4,2,439647.0,4468673.0,USERA,0,1,0
3,3,0,0,0,0,0,3,3,0,0,444304.0,4474429.0,MORATALAZ,0,1,0
1,1,0,0,0,0,0,1,0,1,0,440206.0,4474584.0,CENTRO,0,0,0
2,2,0,0,0,0,0,2,2,0,0,438822.0,4468521.0,USERA,0,0,0
1,1,0,0,0,0,0,1,1,0,0,441744.0,4466092.0,VILLAVERDE,0,1,0
1,0,1,0,0,0,0,1,0,1,1,445865.0,4475747.0,CIUDAD LINEAL,0,1,0
3,3,0,0,0,0,0,3,2,1,0,442890.0,4478861.0,CHAMARTÍN,0,0,0
2,1,1,0,0,0,0,2,2,0,0,441144.0,4472723.0,ARGANZUELA,0,1,0
2,1,1,0,0,0,0,2,2,0,0,446088.0,4472767.0,MORATALAZ,0,1,0
2,1,1,0,0,0,0,2,2,0,1,442991.0,4471236.0,PUENTE DE VALLECAS,0,1,0
1,1,0,0,0,0,0,1,1,0,1,437593.0,4474367.0,MONCLOA-ARAVACA,0,1,0
8,8,0,0,0,0,0,8,5,3,2,444795.0,4474187.0,MORATALAZ,0,0,0
3,3,0,0,0,0,0,3,3,0,2,438319.0,4476814.0,MONCLOA-ARAVACA,0,1,1
2,2,0,0,0,0,1,1,1,1,2,441928.0,4471733.0,ARGANZUELA,0,1,1
2,1,0,1,0,0,0,2,2,0,2,441783.0,4482707.0,FUENCARRAL-EL PARDO,0,1,1
1,0,0,1,0,0,0,1,1,0,3,441603.0,4474805.0,SALAMANCA,0,1,1
2,2,0,0,0,0,1,1,0,2,2,439654.0,4478759.0,TETUÁN,0,1,1
1,0,0,0,1,0,0,1,1,0,0,437320.0,4471487.0,CARABANCHEL,0,1,0
1,1,0,0,0,0,0,1,1,0,0,439371.0,4475795.0,CHAMBERÍ,0,1,1
1,0,1,0,0,0,0,1,1,0,2,445855.0,4480119.0,HORTALEZA,0,0,1
2,2,0,0,0,0,1,1,1,1,2,446776.0,4479994.0,HORTALEZA,0,1,1
1,0,1,0,0,0,0,1,1,0,3,444558.0,4471395.0,PUENTE DE VALLECAS,0,0,1
2,2,0,0,0,0,1,1,2,0,1,447068.0,4474042.0,CIUDAD LINEAL,0,1,1
8,8,0,0,0,0,0,8,3,5,2,440326.0,4479444.0,TETUÁN,0,1,1
3,3,0,0,0,0,0,3,2,1,2,438746.0,4481890.0,FUENCARRAL-EL PARDO,0,1,1
2,1,0,1,0,0,0,2,2,0,0,440372.0,4474626.0,CENTRO,0,1,1
2,2,0,0,0,0,0,2,1,1,0,442106.0,4477080.0,CHAMARTÍN,0,1,1
2,1,1,0,0,0,0,2,1,1,0,440321.0,4474633.0,CENTRO,0,0,1
2,2,0,0,0,0,0,2,1,1,0,435476.0,4478883.0,MONCLOA-ARAVACA,0,0,1
